,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_exponent_n_steps,params_gae_lambda,params_gamma,params_lr,params_max_grad_norm,params_net_arch,params_ortho_init,user_attrs_gae_lambda_,user_attrs_gamma_,user_attrs_n_steps,state
0,0,484.6666564941406,2021-04-09 12:22:08.063338,2021-04-09 12:23:52.615302,0 days 00:01:44.551964000,relu,3.223815992041934e-06,9,0.05266010797926369,0.03984932770325183,0.0018254471899585368,2.118856967068673,small,True,0.9473398920207363,0.9601506722967482,512,COMPLETE
1,1,71.33333587646484,2021-04-09 12:22:08.068272,2021-04-09 12:23:35.840679,0 days 00:01:27.772407000,relu,0.025285530191479607,9,0.0820030575321813,0.009404747571962083,0.0005928581000549525,3.8480592096076367,tiny,True,0.9179969424678187,0.9905952524280379,512,COMPLETE
2,2,29.0,2021-04-09 12:22:08.069767,2021-04-09 12:23:45.839355,0 days 00:01:37.769588000,relu,0.015480275227943667,5,0.005640475779692682,0.00010887888732076034,0.04856616126998808,0.5168530714339415,tiny,True,0.9943595242203073,0.9998911211126792,32,COMPLETE
3,3,151.3333282470703,2021-04-09 12:23:35.843366,2021-04-09 12:25:15.430714,0 days 00:01:39.587348000,tanh,7.297845571135718e-08,7,0.17465557733457418,0.011046221237276796,0.0007823915767579297,3.123953918004473,small,False,0.8253444226654258,0.9889537787627232,128,COMPLETE
4,4,79.66666412353516,2021-04-09 12:23:45.842571,2021-04-09 12:25:19.650132,0 days 00:01:33.807561000,relu,2.367188925729814e-06,8,0.006114416897461318,0.00018952318474659482,0.00012191599436100003,2.4194642403481885,small,True,0.9938855831025387,0.9998104768152534,256,PRUNED
5,5,179.6666717529297,2021-04-09 12:23:52.619522,2021-04-09 12:25:17.528241,0 days 00:01:24.908719000,tanh,0.09659393938301476,8,0.016728709815566588,0.0027247305683652597,0.006302470037949261,4.211019078573667,tiny,False,0.9832712901844334,0.9972752694316347,256,COMPLETE
6,6,9.0,2021-04-09 12:25:15.436891,2021-04-09 12:26:28.780234,0 days 00:01:13.343343000,tanh,0.0018268311625914283,3,0.008348673565489698,0.00029712178451654636,0.5128404909424739,4.362017127645696,small,True,0.9916513264345103,0.9997028782154834,8,PRUNED
7,7,46.0,2021-04-09 12:25:17.531343,2021-04-09 12:26:01.169024,0 days 00:00:43.637681000,relu,2.5736634511107763e-06,10,0.03608063589377093,0.06135947391223668,1.2008492709771866e-05,1.2101673962102288,small,True,0.963919364106229,0.9386405260877633,1024,PRUNED
8,8,10.0,2021-04-09 12:25:19.652269,2021-04-09 12:26:02.646881,0 days 00:00:42.994612000,relu,5.428860323164047e-05,10,0.03863391033677455,0.06698021297710344,1.1268604023053518e-05,1.051903657199224,small,True,0.9613660896632255,0.9330197870228966,1024,PRUNED
9,9,9.666666984558105,2021-04-09 12:26:01.171313,2021-04-09 12:27:12.059230,0 days 00:01:10.887917000,relu,0.0004134104048246657,3,0.07385218676278725,0.08496635792206952,0.6000052253658825,1.3432481516631898,small,True,0.9261478132372127,0.9150336420779305,8,PRUNED
10,10,9.666666984558105,2021-04-09 12:26:02.648814,2021-04-09 12:26:59.614560,0 days 00:00:56.965746000,relu,0.00024651777267677664,4,0.0013639932461521692,0.0008483419636966834,0.6990130142470491,1.78153145575079,small,True,0.9986360067538478,0.9991516580363033,16,PRUNED
11,11,9.333333015441895,2021-04-09 12:26:28.782404,2021-04-09 12:27:19.122098,0 days 00:00:50.339694000,relu,1.238584726032103e-08,5,0.0016782955844085149,0.0012715988014904568,0.022634381836669968,1.8772914076703697,small,False,0.9983217044155915,0.9987284011985096,32,PRUNED
12,12,9.333333015441895,2021-04-09 12:26:59.616647,2021-04-09 12:27:51.572169,0 days 00:00:51.955522000,relu,3.833056559130745e-08,6,0.19368976006870325,0.02169682522296506,0.014192850390302355,0.5995067240925415,small,False,0.8063102399312967,0.978303174777035,64,PRUNED
13,13,165.0,2021-04-09 12:27:12.060954,2021-04-09 12:28:45.442643,0 days 00:01:33.381689000,tanh,1.4031371259177172e-07,8,0.019233903945398024,0.003271858404475535,0.01043135426280672,4.802562620519781,tiny,False,0.980766096054602,0.9967281415955245,256,COMPLETE
14,14,373.3333435058594,2021-04-09 12:27:19.123883,2021-04-09 12:28:54.192274,0 days 00:01:35.068391000,tanh,1.9294040637183307e-06,8,0.019401831201919188,0.006635847732080124,0.008491216964052023,4.923909025555497,tiny,False,0.9805981687980808,0.9933641522679199,256,COMPLETE
15,15,471.6666564941406,2021-04-09 12:27:51.573836,2021-04-09 12:29:27.410784,0 days 00:01:35.836948000,tanh,6.425899064232686e-06,8,0.018907054957908155,0.0031373281259995116,0.0031582690392216203,4.850652265775708,tiny,False,0.9810929450420919,0.9968626718740005,256,COMPLETE
16,16,500.0,2021-04-09 12:28:45.445556,2021-04-09 12:30:20.167026,0 days 00:01:34.721470000,tanh,2.603810703547752e-06,9,0.013614470781106284,0.002529524642996652,0.0023466607220455024,2.907981792344397,tiny,False,0.9863855292188937,0.9974704753570034,512,COMPLETE
17,17,8.333333015441895,2021-04-09 12:28:54.194466,2021-04-09 12:29:39.823735,0 days 00:00:45.629269000,tanh,4.228889646071229e-06,9,0.03463033208029105,0.02793398108154061,0.10177996811177448,0.7916439502784031,tiny,False,0.9653696679197089,0.9720660189184593,512,PRUNED
18,18,103.33333587646484,2021-04-09 12:29:27.413720,2021-04-09 12:30:11.016255,0 days 00:00:43.602535000,tanh,1.0672600319030008e-05,9,0.047341876511239944,0.02874576786751532,0.001407702156185624,2.7397667933315213,tiny,False,0.9526581234887601,0.9712542321324846,512,PRUNED
